Date,Location,Renewable Energy (kWh),Non-Renewable Energy (kWh),Energy Cost (USD),Carbon Emissions (Tons),Renewable Efficiency (%)
1/3/2023,Miami,24225.48,11124.8,5805.94,7179.71,68.53
1/3/2023,Seattle,5570.88,11068.4,1709.77,15958.96,33.48
1/3/2023,Denver,16750.28,26108,5743.58,22385.9,39.08
1/3/2023,Boston,8451.03,22389.25,2952.53,32457.26,27.4
1/3/2023,Dallas,3274.21,8029.07,2701.4,7275.62,28.97
1/3/2023,Atlanta,3353.14,6086.14,935.36,5540.88,35.52
1/3/2023,Phoenix,18444.43,5892.85,3456.41,8352.93,75.79
1/3/2023,Las Vegas,20752.93,7671.35,4866.84,7023.59,73.01
1/3/2023,San Diego,4675.78,12579.5,2516.87,8247.77,27.1
1/3/2023,Philadelphia,34101.5,16250.78,12254.53,19412.41,67.73
1/4/2023,New York,5588.5,5330.21,2466.52,7641.35,51.18
1/4/2023,Los Angeles,7699.16,26932.55,6851.16,39089.11,22.23
1/4/2023,Chicago,9142.3,5780.41,3505.62,2021.77,61.26
1/4/2023,Houston,27250.61,4161.1,5812.38,3228.35,86.75
1/4/2023,San Francisco,5275.8,11450.91,3175.63,13618.69,31.54
1/4/2023,Miami,11361.92,36822.79,4414.79,20289.37,23.58
1/4/2023,Seattle,8595.15,22772.56,5685.67,29820.44,27.4
1/4/2023,Denver,18424.78,9717.93,2660.03,4591.92,65.47
1/4/2023,Boston,7049.96,896.75,1976.28,455.09,88.72
1/4/2023,Dallas,7873.29,15845.42,2848.3,18838.63,33.19
1/4/2023,Atlanta,3333.7,5992.01,1493.18,6426.84,35.75
1/4/2023,Phoenix,18591.56,20286.15,8191.69,20104.58,47.82
1/4/2023,Las Vegas,29663.09,6169.62,8304.34,8654.49,82.78
1/4/2023,San Diego,15495.76,28227.95,6554.08,37834.46,35.44
1/4/2023,Philadelphia,4925.26,18696.45,2461.98,21266.03,20.85
1/5/2023,New York,7795.02,25327.92,3332.8,20232.92,23.53
1/5/2023,Los Angeles,12457.09,8744.85,3434.84,12979.78,58.75
1/5/2023,Chicago,42200.82,7651.12,9863.54,9470.11,84.65
1/5/2023,Houston,2135.04,7404.9,1435.09,2667.47,22.38
1/5/2023,San Francisco,11967.84,2509.1,2278.04,2973.97,82.67
1/5/2023,Miami,31038.11,16895.83,9029.99,15869.28,64.75
1/5/2023,Seattle,24415.88,9514.06,2890.28,10549.43,71.96
1/5/2023,Denver,14306.92,30431.02,5124.23,23274.29,31.98
1/5/2023,Boston,5790.56,17261.38,5523.39,22167.22,25.12
1/5/2023,Dallas,9646.98,11577.96,2937.58,15964.77,45.45
1/5/2023,Atlanta,4702.63,12782.31,4006.58,5886.54,26.9
1/5/2023,Phoenix,10506.12,1964.82,3031.65,2937.91,84.24
1/5/2023,Las Vegas,4856.21,13871.73,4249,6658.58,25.93
1/5/2023,San Diego,7173.75,8045.19,3360.24,9661.09,47.14
1/5/2023,Philadelphia,10092.56,2467.38,1755.72,2965.53,80.36
1/6/2023,New York,9161.09,11687.99,2558.04,13898.3,43.94
1/6/2023,Los Angeles,20231.04,7452.04,4571.03,6333.95,73.08
1/6/2023,Chicago,11698.73,15506.35,4901.12,19438.11,43
1/6/2023,Houston,26915.66,18804.42,10417.38,23675.36,58.87
1/6/2023,San Francisco,29609.68,19385.4,9148.02,6753.47,60.43
1/6/2023,Miami,3911.68,7047.4,1282.18,9489.43,35.69
1/6/2023,Seattle,37047.92,13962.16,8375.7,19346.22,72.63
1/6/2023,Denver,11391.23,2203.85,1134.7,2611.71,83.79
1/6/2023,Boston,19054.19,29926.89,6179.61,21053.09,38.9
1/6/2023,Dallas,5954.81,13495.27,4671.64,6397.87,30.62
1/6/2023,Atlanta,35544.31,12629.77,7754.86,14944.72,73.78
1/6/2023,Phoenix,8157.43,8283.65,1318.97,7819.2,49.62
1/6/2023,Las Vegas,9124.18,13459.9,2163.64,12225.68,40.4
1/6/2023,San Diego,8111.77,7838.31,3925.73,5166.01,50.86
1/6/2023,Philadelphia,27674.51,22043.57,8396.01,31607.59,55.66
1/7/2023,New York,5772.61,3961.29,2343.13,5768.04,59.3
1/7/2023,Los Angeles,10278.16,9297.74,4448.68,5413.36,52.5
1/7/2023,Chicago,17544.43,7858.47,4270.24,7445.51,69.06
1/7/2023,Houston,7095.86,7329.04,3357,9302.68,49.19
1/7/2023,San Francisco,6855.26,6231.64,3109.96,6482.97,52.38
1/7/2023,Miami,13136.01,5691.89,3839.19,6033.98,69.77
1/7/2023,Seattle,4104.79,12413.11,1410.57,15080.8,24.85
1/7/2023,Denver,15861.23,29736.67,8564.08,21400.34,34.79
1/7/2023,Boston,14520.95,4319.95,1710.69,2797.19,77.07
1/7/2023,Dallas,11356.54,1618.36,1388.15,2129.3,87.53
1/7/2023,Atlanta,5993.29,2591.61,998.87,3601.67,69.81
1/7/2023,Phoenix,20035.2,10717.7,5695.31,10601.36,65.15
1/7/2023,Las Vegas,12435.24,6196.66,2410.99,6164.92,66.74
1/7/2023,San Diego,33095.68,15970.22,3937.71,15844.5,67.45
1/7/2023,Philadelphia,5174.53,20238.37,2140.19,24041.03,20.36
1/8/2023,New York,6360.84,4482.31,1687.07,3842.54,58.66
1/8/2023,Los Angeles,2616.96,4977.19,1693.9,4117.18,34.46
1/8/2023,Chicago,13538.87,12222.28,5875.35,14091.75,52.56
1/8/2023,Houston,6650.43,8701.72,1416.2,6776.1,43.32
1/8/2023,San Francisco,14506.97,29056.18,5218.71,40009.23,33.3
1/8/2023,Miami,16702.26,2656.89,2167.33,1251.84,86.28
1/8/2023,Seattle,13235.02,31435.13,4011.51,20091.53,29.63
1/8/2023,Denver,14544.2,2112.95,2193.13,991.65,87.32
1/8/2023,Boston,12094.24,11834.91,3087.86,9940.69,50.54
1/8/2023,Dallas,7737.06,9468.09,3445.1,14021.65,44.97
1/8/2023,Atlanta,14715.6,13378.55,4822.39,13128.77,52.38
1/8/2023,Phoenix,21210.21,10503.94,3822.92,7589.75,66.88
1/8/2023,Las Vegas,5124.89,17480.26,5562.62,8596.78,22.67
1/8/2023,San Diego,40217.19,6839.96,9726.75,2847.8,85.46
1/8/2023,Philadelphia,11295.86,5796.29,2385.76,7768.19,66.09
1/9/2023,New York,31777.98,6504.72,4382.12,4597.62,83.01
1/9/2023,Los Angeles,13650.34,27099.36,5130.03,38013.64,33.5
1/9/2023,Chicago,11380.01,4870.69,1700.22,5272.77,70.03
1/9/2023,Houston,41245.07,10041.63,4261.17,7609.15,80.42
1/9/2023,San Francisco,14780.08,5782.62,1997.92,6054.35,71.88
1/9/2023,Miami,8906.1,3745.6,2953.85,4739.53,70.39
1/9/2023,Seattle,25542.13,20229.57,5491.46,29486.01,55.8
1/9/2023,Denver,10156.72,6059.98,3570.91,6636.29,62.63
1/9/2023,Boston,7671.26,17242.44,3774.89,8499.09,30.79
1/9/2023,Dallas,18715.99,33083.71,10043.82,36564.33,36.13
1/9/2023,Atlanta,20348.46,26539.24,6543.33,21973.08,43.4
1/9/2023,Phoenix,12828.3,2985.4,3822.5,3046.26,81.12
1/9/2023,Las Vegas,6485.55,12988.15,2497.19,6099.23,33.3
1/9/2023,San Diego,39619.05,11288.65,5428.44,9320.26,77.83
1/9/2023,Philadelphia,8399.68,3416.02,1642.26,5017.25,71.09
1/10/2023,New York,16080.35,32581.24,11208.3,21622.76,33.05
1/10/2023,Los Angeles,22788.49,3804.1,4408.46,4075.52,85.69
1/10/2023,Chicago,7755.05,11273.54,2220.32,9771.6,40.75
1/10/2023,Houston,12835.87,37615.72,8612.82,53514.39,25.44
1/10/2023,San Francisco,4451.19,8633.4,3086.72,4211.39,34.02
1/10/2023,Miami,7649.16,29828.43,8072.01,16355.54,20.41
1/10/2023,Seattle,5353.79,3689.8,2109.68,2533.63,59.2
1/10/2023,Denver,8803.56,3349.03,2864.81,2002.42,72.44
1/10/2023,Boston,41662.04,7272.55,6732.26,4364.56,85.14
1/10/2023,Dallas,14709.86,35387.73,7176.9,19407.16,29.36
1/10/2023,Atlanta,6098.87,2405.72,1383.86,1748.69,71.71
1/10/2023,Phoenix,14584.9,6264.69,3265.86,3388.65,69.95
1/10/2023,Las Vegas,32371.24,10100.35,7745.39,15044.95,76.22
1/10/2023,San Diego,23369.87,4458.72,3179.54,1424.45,83.98
1/10/2023,Philadelphia,17166.05,5238.54,5312.07,2428.33,76.62
1/11/2023,New York,6662.87,9798.12,3834.34,12398.77,40.48
1/11/2023,Los Angeles,8228.57,7605.42,2724.98,9624.81,51.97
1/11/2023,Chicago,38602.05,6039.94,7260.14,5396.5,86.47
1/11/2023,Houston,4307.73,4860.26,1796.29,2236.2,46.99
1/11/2023,San Francisco,8094.72,3549.27,2681.96,3564.15,69.52
1/11/2023,Miami,6225.9,7824.09,3476.18,5665.09,44.31
1/11/2023,Seattle,9171.31,4701.68,3449.38,2632.53,66.11
1/11/2023,Denver,15756.34,2342.65,2142.79,3320.91,87.06
1/11/2023,Boston,18457.88,21318.11,9229.63,23142.32,46.4
1/11/2023,Dallas,7161.13,10192.86,3857.37,6683.74,41.27
1/11/2023,Atlanta,3358.19,8053.8,2008.99,3415.14,29.43
1/11/2023,Phoenix,14595.18,7365.81,3274.4,5479.92,66.46
1/11/2023,Las Vegas,11847.26,11217.73,5621.14,4553.27,51.36
1/11/2023,San Diego,10674.74,19357.25,6040.62,23411.66,35.54
1/11/2023,Philadelphia,16112.25,2353.74,3525.05,3378.47,87.25
1/12/2023,New York,13915.07,19042.86,3348.64,17580.02,42.22
1/12/2023,Los Angeles,21758,17655.93,9398.98,16991.77,55.2
1/12/2023,Chicago,6247.45,8773.48,2242.37,11113.27,41.59
1/12/2023,Houston,8291.49,7847.44,3404.98,8372.27,51.38
1/12/2023,San Francisco,31483.28,6884.65,6760.1,5165.61,82.06
1/12/2023,Miami,3330.27,9558.66,1603.49,8585.71,25.84
1/12/2023,Seattle,12505.21,16934.72,6504.28,12523.96,42.48
1/12/2023,Denver,24248.44,15615.49,7902.83,13507.9,60.83
1/12/2023,Boston,4033.54,13161.39,3510.53,10991.97,23.46
1/12/2023,Dallas,18459.28,8510.65,3777.63,5753.41,68.44
1/12/2023,Atlanta,31792.99,17292.94,7038.38,20135.83,64.77
1/12/2023,Phoenix,9112.83,5562.1,3069.5,7739.32,62.1
1/12/2023,Las Vegas,6199.71,3347.22,1414.97,3267.71,64.94
1/12/2023,San Diego,14530.83,10088.1,5907.09,12626.24,59.02
1/12/2023,Philadelphia,25023.9,13730.03,5705.61,5911.73,64.57
1/13/2023,New York,8941.27,5626.73,2254.3,5170.59,61.38
1/13/2023,Los Angeles,7313.18,16085.82,4783.94,13057.33,31.25
1/13/2023,Chicago,20710.24,29844.76,9989.18,40727.71,40.97
1/13/2023,Houston,5489.44,11613.56,2220.53,4542.9,32.1
1/13/2023,San Francisco,2766.48,8084.52,1140.34,6429.82,25.5
1/13/2023,Miami,20124.82,27414.18,8060.84,20635.52,42.33
1/13/2023,Seattle,9254.22,21644.78,3213.65,14061.24,29.95
1/13/2023,Denver,2869.27,9676.73,1965.42,12845.51,22.87
1/13/2023,Boston,2557.91,8855.09,2711.71,7572.4,22.41
1/13/2023,Dallas,5272.13,2735.87,1208.21,1954.17,65.84
1/13/2023,Atlanta,10722.03,5955.97,2467.55,4944.97,64.29
1/13/2023,Phoenix,12973.21,5937.79,4293.2,2523.5,68.6
1/13/2023,Las Vegas,6324.27,2323.73,1085.03,2920.11,73.13
1/13/2023,San Diego,37041.29,11112.71,10908.7,7980.58,76.92
1/13/2023,Philadelphia,15961.27,10826.73,6088.76,10710.76,59.58
1/14/2023,New York,3190.54,9496.44,2216.56,13906.99,25.15
1/14/2023,Los Angeles,8195.07,10519.91,4419.24,9075.51,43.79
1/14/2023,Chicago,6733.79,7062.19,1587.45,7772.71,48.81
1/14/2023,Houston,11367.99,4680.99,1987.51,6952.27,70.83
1/14/2023,San Francisco,2331.42,5796.56,978.36,4637.55,28.68
1/14/2023,Miami,29551.99,4705.99,6302.32,5554.18,86.26
1/14/2023,Seattle,4376.84,9538.14,2295.3,4024.88,31.45
1/14/2023,Denver,5329.97,10339.01,2388.57,5335.13,34.02
1/14/2023,Boston,2382.7,6795.28,1810.47,8053.49,25.96
1/14/2023,Dallas,8651.52,8052.46,2067.47,7513.05,51.79
1/14/2023,Atlanta,25210.88,21212.1,5119.97,26264.73,54.31
1/14/2023,Phoenix,20562.52,5257.46,5459.19,5738.24,79.64
1/14/2023,Las Vegas,9705.23,3276.75,1786.31,989.98,74.76
1/14/2023,San Diego,13412.26,8280.72,4688.52,9756.28,61.83
1/14/2023,Philadelphia,4618.48,3789.5,1588.11,1851.27,54.93
1/15/2023,New York,12092.81,5552.43,2588.77,2861.91,68.53
1/15/2023,Los Angeles,9619.71,9348.53,1693.3,12834.67,50.71
1/15/2023,Chicago,33165.23,3782.01,6149.36,5548.94,89.76
1/15/2023,Houston,11432.74,11489.5,2160.61,10615.91,49.88
1/15/2023,San Francisco,12857.16,9374.08,1989.08,6438.55,57.83
1/15/2023,Miami,6488.74,8202.5,3149.84,4831.54,44.17
1/15/2023,Seattle,15757.97,4333.27,2147.55,3148.78,78.43
1/15/2023,Denver,11584.85,2157.39,3044.26,1586.47,84.3
1/15/2023,Boston,7318.45,8427.79,2356.25,9589.44,46.48
1/15/2023,Dallas,5405.22,3851.02,1313.17,1789.34,58.4
1/15/2023,Atlanta,5369.38,5513.86,1759.16,3154.28,49.34
1/15/2023,Phoenix,7404.67,6872.57,2924.16,7963.41,51.86
1/15/2023,Las Vegas,23693.84,15952.4,5217.09,14957.85,59.76
1/15/2023,San Diego,3940.3,6258.94,1756.5,5482.3,38.63
1/15/2023,Philadelphia,10413.17,7309.07,1732.71,5744.42,58.76
1/16/2023,New York,4848.22,7513.03,2017.5,5684.29,39.22
1/16/2023,Los Angeles,10177.6,5172.65,3335.05,7191.71,66.3
1/16/2023,Chicago,14521.03,5888.22,3567.8,7300.52,71.15
1/16/2023,Houston,3211.94,2040.31,476.47,1343.65,61.15
1/16/2023,San Francisco,2441.98,7563.27,2301.32,2908.96,24.41
1/16/2023,Miami,13629.38,4175.87,4172.84,4807.94,76.55
1/16/2023,Seattle,11417.84,5227.41,1625.16,4894.17,68.6
1/16/2023,Denver,9351.03,18461.22,5314.29,18310,33.62
1/16/2023,Boston,9892.47,39070.78,8150.04,42049.7,20.2
1/16/2023,Dallas,5027.88,14599.37,2630.55,13066,25.62
1/16/2023,Atlanta,6400.8,9340.45,3595.75,12387.56,40.66
1/16/2023,Phoenix,1738.12,3185.13,527.27,4070.37,35.3
1/16/2023,Las Vegas,4911.62,9550.63,1242.07,12151.77,33.96
1/16/2023,San Diego,10539.01,33416.24,4692.74,40763.52,23.98
1/16/2023,Philadelphia,11261.73,4051.52,1919.74,2825.45,73.54
1/17/2023,New York,11515.05,1669.87,2668.31,573.52,87.34
1/17/2023,Los Angeles,11824.33,13704.59,5772.37,18714.95,46.32
1/17/2023,Chicago,7790.57,24452.35,5746.77,16642.74,24.16
1/17/2023,Houston,4275.95,1013.97,869.11,1469.6,80.83
1/17/2023,San Francisco,10049.61,14071.31,2592.98,9729.64,41.66
1/17/2023,Miami,35498.28,6584.64,8524.02,3753.14,84.35
1/17/2023,Seattle,15160.88,1917.04,3969.84,2405.95,88.77
1/17/2023,Denver,23447.32,13656.6,6007.03,10462.48,63.19
1/17/2023,Boston,6895.23,1655.69,2035.45,745.13,80.64
1/17/2023,Dallas,4364.06,863.86,997.86,577.42,83.48
1/17/2023,Atlanta,2526.52,8835.4,1004.64,12403.57,22.24
1/17/2023,Phoenix,25253,7921.92,3735.75,5763.23,76.12
1/17/2023,Las Vegas,3273.89,3260.03,1130.92,3000.34,50.11
1/17/2023,San Diego,10197.7,6969.22,4039.1,6655.19,59.4
1/17/2023,Philadelphia,6187.04,14337.88,2232.3,11934.41,30.14
1/18/2023,New York,18349.87,19533.09,4419.68,14789.98,48.44
1/18/2023,Los Angeles,16431.26,6315.7,4672.66,6338.34,72.23
1/18/2023,Chicago,5279.06,7823.9,1632.05,8582.78,40.29
1/18/2023,Houston,19762.2,25209.76,7465.43,34559.54,43.94
1/18/2023,San Francisco,11826.47,16893.49,5399.41,16585.18,41.18
1/18/2023,Miami,4009.64,5229.32,2107.84,6891.64,43.4
1/18/2023,Seattle,12397.52,13576.44,4150.68,4263.14,47.73
1/18/2023,Denver,10998.77,32250.19,7360.01,47953.41,25.43
1/18/2023,Boston,5389.39,8382.57,2712.42,3633.54,39.13
1/18/2023,Dallas,8663.86,12423.1,2177.99,5777.26,41.09
1/18/2023,Atlanta,5365.82,10341.14,1464.46,12737.83,34.16
1/18/2023,Phoenix,4601.63,1775.33,859.58,1405.05,72.16
1/18/2023,Las Vegas,7210.09,9203.87,3542.71,7868.3,43.93
1/18/2023,San Diego,16454.63,10565.33,5761.72,13327.38,60.9
1/18/2023,Philadelphia,26408.23,22471.73,4343.21,16989.06,54.03
1/19/2023,New York,3132.46,1603.82,803.32,963.25,66.14
1/19/2023,Los Angeles,1288.5,3257.78,578.3,2426.72,28.34
1/19/2023,Chicago,26111.95,8537.33,4985.4,8712.68,75.36
1/19/2023,Houston,19103.75,16207.53,7655.13,11907.05,54.1
1/19/2023,San Francisco,1555.78,5267.5,948.11,5700.6,22.8
1/19/2023,Miami,20015.12,10354.16,3399.4,3833.97,65.91
1/19/2023,Seattle,6565.08,3820.2,1667.79,3804.78,63.22
1/19/2023,Denver,7701.95,2695.33,2197.79,3939.97,74.08
1/19/2023,Boston,4340.1,2915.18,830.09,3001.41,59.82
1/19/2023,Dallas,7229.27,2448.01,1268.02,1592.78,74.7
1/19/2023,Atlanta,14739.15,26643.13,8815.68,23322.53,35.62
1/19/2023,Phoenix,4562.64,8449.64,1411.59,5333.46,35.06
1/19/2023,Las Vegas,11927.58,7158.7,2070.32,8829.88,62.49
1/19/2023,San Diego,2942.52,6945.76,2140.36,5402.71,29.76
1/19/2023,Philadelphia,3690.16,6746.12,1533.55,8498.09,35.36
1/20/2023,New York,5678.68,5863.72,2487.21,6459.39,49.2
1/20/2023,Los Angeles,6265.02,2788.38,986.01,2686.28,69.2
1/20/2023,Chicago,6882.19,17433.21,2683.83,17864.47,28.3
1/20/2023,Houston,2302.46,6162.94,787.88,4463.25,27.2
1/20/2023,San Francisco,7284.78,3700.62,2257.66,1901.33,66.31
1/20/2023,Miami,9049.92,3048.48,2773.16,4037.17,74.8
1/20/2023,Seattle,15418.32,16017.08,5045.84,12709.93,49.05
1/20/2023,Denver,7804.64,2088.76,1811.49,1706.53,78.89
1/20/2023,Boston,10293.22,5517.18,2533.93,3362.9,65.1
1/20/2023,Dallas,14500.96,9565.44,5013.15,6060.23,60.25
1/20/2023,Atlanta,9627.09,31747.31,8344,19177.6,23.27
1/20/2023,Phoenix,16854.73,14209.67,5308.27,6355.03,54.26
1/20/2023,Las Vegas,5476.88,1820.52,1381.2,1401.75,75.05
1/20/2023,San Diego,6080.09,9546.31,1779.32,6666.98,38.91
1/20/2023,Philadelphia,10136.06,1179.34,2533.7,1156.86,89.58
1/21/2023,New York,22730.36,23689.49,5352.99,33748.71,48.97
1/21/2023,Los Angeles,27443.89,3105.96,6473.33,3497.02,89.83
1/21/2023,Chicago,1177.96,3370.89,823.29,3654.85,25.9
1/21/2023,Houston,3217.85,8781,1564.51,5553.04,26.82
1/21/2023,San Francisco,2501.3,1061.55,292.31,530.93,70.21
1/21/2023,Miami,17743.62,4474.23,2096.48,6584.22,79.86
1/21/2023,Seattle,8729.19,1670.66,936.23,2244.56,83.94
1/21/2023,Denver,21056.47,5997.38,3371.82,8715.58,77.83
1/21/2023,Boston,11692.83,4247.02,3456.18,5444.64,73.36
1/21/2023,Dallas,12474.7,18618.15,4269.88,18943.97,40.12
1/21/2023,Atlanta,31590.12,13964.73,5620.79,20219.89,69.35
1/21/2023,Phoenix,1506.45,2516.4,792.28,2310.78,37.45
1/21/2023,Las Vegas,7567.93,5973.92,2130.67,6680.89,55.89
1/21/2023,San Diego,3985.71,6205.14,2436.23,5416.59,39.11
1/21/2023,Philadelphia,4908.98,6359.87,2177.48,6516.62,43.56
1/22/2023,New York,9161.49,4302.31,1652.61,6302.49,68.05
1/22/2023,Los Angeles,14867.69,31213.11,10525.38,17427.9,32.26
1/22/2023,Chicago,24488.83,16076.97,5069.48,14959.11,60.37
1/22/2023,Houston,11020.33,1523.47,1462.33,868.31,87.85
1/22/2023,San Francisco,3670.9,9830.9,1316.95,7154.71,27.19
1/22/2023,Miami,33357.01,5276.79,7193.39,7199.96,86.34
1/22/2023,Seattle,3751.91,11562.89,3658.29,11957.23,24.5
1/22/2023,Denver,1310.88,2842.92,374.17,3074.99,31.56
1/22/2023,Boston,14581.1,32331.7,5836.18,16634.61,31.08
1/22/2023,Dallas,33490.26,4184.54,3938.83,2796.24,88.89
1/22/2023,Atlanta,8549.62,15908.18,3957.08,8312.37,34.96
1/22/2023,Phoenix,8508.51,10859.29,2648.74,5958.39,43.93
1/22/2023,Las Vegas,8983.86,27393.94,4901.38,32100.41,24.7
1/22/2023,San Diego,4444.2,1514.6,757.97,962.37,74.58
1/22/2023,Philadelphia,29633.31,6752.49,6127.56,9638.08,81.44
1/23/2023,New York,11707.81,5369.81,2911.65,6938.67,68.56
1/23/2023,Los Angeles,4825.4,1145.22,602.39,1207.52,80.82
1/23/2023,Chicago,2086.97,7625.65,1814,4093.21,21.49
1/23/2023,Houston,31169.14,3965.48,7072.04,4806.75,88.71
1/23/2023,San Francisco,11171.7,33361.92,4978.77,19436.5,25.09
1/23/2023,Miami,8121.58,15059.04,5228.8,16941.77,35.04
1/23/2023,Seattle,17830.58,9384.04,2995.58,8994.84,65.52
1/23/2023,Denver,4018.02,2719.6,851.16,4040.17,59.64
1/23/2023,Boston,15441.08,2971.54,1736.2,3715.04,83.86
1/23/2023,Dallas,17263.25,25675.37,6354.24,11343.48,40.2
1/23/2023,Atlanta,10952.47,35424.15,9981.5,50337.48,23.62
1/23/2023,Phoenix,17377.69,30549.93,9865.7,45368.41,36.26
1/23/2023,Las Vegas,9687.27,4771.35,3435.89,6815.09,67
1/23/2023,San Diego,8171.01,26743.61,3192.15,15047.7,23.4
1/23/2023,Philadelphia,15648.69,11915.93,6485,16313.02,56.77
1/24/2023,New York,5991.06,2480.61,1225.07,2347.58,70.72
1/24/2023,Los Angeles,2871.09,10564.58,3074.6,12695.84,21.37
1/24/2023,Chicago,36951.54,9100.13,6716.87,2764.12,80.24
1/24/2023,Houston,10598.99,30432.68,8672.02,37094.19,25.83
1/24/2023,San Francisco,12846.21,9301.46,3670.2,10215.36,58
1/24/2023,Miami,8984.92,3862.75,2960.35,2221.88,69.93
1/24/2023,Seattle,3343.37,8313.3,2519.23,4996.72,28.68
1/24/2023,Denver,13077.2,2485.47,2166.3,2315.36,84.03
1/24/2023,Boston,9158.54,2066.13,2148.05,2183.84,81.59
1/24/2023,Dallas,15762.06,29437.61,4242.19,26361.48,34.87
1/24/2023,Atlanta,6435.42,2255.25,961.29,2540.78,74.05
1/24/2023,Phoenix,10435.51,7331.16,4219.52,8875.32,58.74
1/24/2023,Las Vegas,22866.39,20384.28,6269.52,24895.01,52.87
1/24/2023,San Diego,7428.15,6966.52,1182.07,10409.99,51.6
1/24/2023,Philadelphia,15130.3,14902.37,3066.67,10694.28,50.38
1/25/2023,New York,14611.18,6391.97,5067.46,7694.53,69.57
1/25/2023,Los Angeles,2426.78,778.37,303.16,995.76,75.72
1/25/2023,Chicago,11620.31,6860.84,2741.03,5157.86,62.88
1/25/2023,Houston,11641.64,26569.51,5965.26,21095.37,30.47
1/25/2023,San Francisco,1248.38,2571.77,368.8,1715.21,32.68
1/25/2023,Miami,15767.67,7872.48,2967.6,6324.67,66.7
1/25/2023,Seattle,8166.43,12589.72,3995.74,16197.43,39.34
1/25/2023,Denver,2725.64,7025.51,1689.62,7246.18,27.95
1/25/2023,Boston,11320.71,3202.44,1773.18,4026.79,77.95
1/25/2023,Dallas,10672.56,5575.59,3688.92,7155.34,65.68
1/25/2023,Atlanta,6320.28,1425.87,1867.28,469.89,81.59
1/25/2023,Phoenix,2924.35,9735.8,2927.47,11962.85,23.1
1/25/2023,Las Vegas,5881.92,8221.23,2703.65,3903.62,41.71
1/25/2023,San Diego,9858.18,2472.97,2022.51,1052.51,79.95
1/25/2023,Philadelphia,2095.79,7048.36,1652.73,8407.22,22.92
1/26/2023,New York,38794.58,4495.51,5664.14,5245.64,89.62
1/26/2023,Los Angeles,3375.3,3266.79,1360.62,4092.05,50.82
1/26/2023,Chicago,5195.89,2183.2,731.32,1329.54,70.41
1/26/2023,Houston,10430.38,23329.71,6065.9,7145.44,30.9
1/26/2023,San Francisco,16716.91,29371.18,10060.49,33799.58,36.27
1/26/2023,Miami,1943.55,5233.54,762.09,5977.72,27.08
1/26/2023,Seattle,3502.46,2197.63,522.05,717.56,61.45
1/26/2023,Denver,35018.63,6543.46,8841.25,6849.11,84.26
1/26/2023,Boston,35934.76,4444.33,5042.23,6265.56,88.99
1/26/2023,Dallas,3702.02,8355.07,2746.75,2551.04,30.7
